Dataset,Sample_Size,Runs,Method,Time
CIFAR10,1000,Run1,RAF,41.897719383239746
CIFAR10,2000,Run1,RAF,81.48168873786926
CIFAR10,3000,Run1,RAF,202.37086033821106
CIFAR10,4000,Run1,RAF,306.4937071800232
CIFAR10,5000,Run1,RAF,489.27715039253235
CIFAR10,6000,Run1,RAF,669.0427203178406
CIFAR10,7000,Run1,RAF,1302.3585841655731
CIFAR10,8000,Run1,RAF,1659.1005947589874
CIFAR10,9000,Run1,RAF,4439.61005282402
CIFAR10,10000,Run1,RAF,2236.162369251251
CIFAR10,12500,Run1,RAF,5036.560754299164
CIFAR10,15000,Run1,RAF,5094.250305891037
CIFAR10,17500,Run1,RAF,7683.446078300476
CIFAR10,20000,Run1,RAF,9823.720584630966
CIFAR10,1000,Run2,RAF,48.86429953575134
CIFAR10,2000,Run2,RAF,100.58046221733093
CIFAR10,3000,Run2,RAF,257.60165071487427
CIFAR10,4000,Run2,RAF,461.1543107032776
CIFAR10,5000,Run2,RAF,590.5729629993439
CIFAR10,6000,Run2,RAF,1067.3203706741333
CIFAR10,7000,Run2,RAF,1296.8638980388641
CIFAR10,8000,Run2,RAF,2604.591143131256
CIFAR10,9000,Run2,RAF,2368.3034012317657
CIFAR10,10000,Run2,RAF,3096.1016852855682
CIFAR10,12500,Run2,RAF,9126.119915485382
CIFAR10,20000,Run2,RAF,8371.710054397583
CIFAR10,1000,Run3,RAF,34.99473571777344
CIFAR10,2000,Run3,RAF,62.869322776794434
CIFAR10,3000,Run3,RAF,183.65175890922546
CIFAR10,4000,Run3,RAF,356.1320548057556
CIFAR10,5000,Run3,RAF,602.486875295639
CIFAR10,6000,Run3,RAF,947.1161201000214
CIFAR10,7000,Run3,RAF,1378.969920873642
CIFAR10,8000,Run3,RAF,3759.308035850525
CIFAR10,9000,Run3,RAF,2340.124929189682
CIFAR10,10000,Run3,RAF,2960.1978187561035
CIFAR10,12500,Run3,RAF,5768.626262664795
CIFAR10,15000,Run3,RAF,7744.368631839752
CIFAR10,1000,Run4,RAF,46.06356716156006
CIFAR10,2000,Run4,RAF,63.91650629043579
CIFAR10,3000,Run4,RAF,192.94705414772034
CIFAR10,4000,Run4,RAF,337.51121616363525
CIFAR10,5000,Run4,RAF,1344.2255964279175
CIFAR10,6000,Run4,RAF,796.8801107406616
CIFAR10,7000,Run4,RAF,2109.046567440033
CIFAR10,8000,Run4,RAF,2693.7756547927856
CIFAR10,9000,Run4,RAF,4514.271210193634
CIFAR10,10000,Run4,RAF,2214.3220913410187
CIFAR10,12500,Run4,RAF,5871.40508723259
CIFAR10,15000,Run4,RAF,5741.6375098228455
CIFAR10,17500,Run4,RAF,5089.915657043457
CIFAR10,1000,Run5,RAF,42.33579158782959
CIFAR10,2000,Run5,RAF,87.394700050354
CIFAR10,3000,Run5,RAF,210.3876211643219
CIFAR10,4000,Run5,RAF,361.35228872299194
CIFAR10,5000,Run5,RAF,566.7964055538177
CIFAR10,6000,Run5,RAF,753.6388852596283
CIFAR10,7000,Run5,RAF,1175.910061597824
CIFAR10,8000,Run5,RAF,4213.0280594825745
CIFAR10,9000,Run5,RAF,10262.527833461761
CIFAR10,10000,Run5,RAF,9344.598819255829
CIFAR10_F,1000,Run1,RAF,41.897719383239746
CIFAR10_F,2000,Run1,RAF,81.48168873786926
CIFAR10_F,3000,Run1,RAF,202.37086033821106
CIFAR10_F,4000,Run1,RAF,306.4937071800232
CIFAR10_F,5000,Run1,RAF,489.27715039253235
CIFAR10_F,6000,Run1,RAF,669.0427203178406
CIFAR10_F,7000,Run1,RAF,1302.3585841655731
CIFAR10_F,8000,Run1,RAF,1659.1005947589874
CIFAR10_F,9000,Run1,RAF,4439.61005282402
CIFAR10_F,10000,Run1,RAF,2236.162369251251
CIFAR10_F,12500,Run1,RAF,5036.560754299164
CIFAR10_F,15000,Run1,RAF,5094.250305891037
CIFAR10_F,17500,Run1,RAF,7683.446078300476
CIFAR10_F,20000,Run1,RAF,9823.720584630966
