Epoch [1/300], Train Loss: 1.6491, Train Acc: 39.10%
Epoch [2/300], Train Loss: 1.1741, Train Acc: 57.44%
Epoch [3/300], Train Loss: 0.9382, Train Acc: 66.78%
Epoch [4/300], Train Loss: 0.7801, Train Acc: 72.41%
Epoch [5/300], Train Loss: 0.6783, Train Acc: 76.40%
Epoch [6/300], Train Loss: 0.6188, Train Acc: 78.76%
Epoch [7/300], Train Loss: 0.5619, Train Acc: 80.56%
Epoch [8/300], Train Loss: 0.5355, Train Acc: 81.64%
Epoch [9/300], Train Loss: 0.5033, Train Acc: 82.83%
Epoch [10/300], Train Loss: 0.4882, Train Acc: 83.31%
Epoch [11/300], Train Loss: 0.4702, Train Acc: 83.94%
Epoch [12/300], Train Loss: 0.4521, Train Acc: 84.62%
Epoch [13/300], Train Loss: 0.4459, Train Acc: 84.66%
Epoch [14/300], Train Loss: 0.4322, Train Acc: 85.42%
Epoch [15/300], Train Loss: 0.4220, Train Acc: 85.58%
Epoch [16/300], Train Loss: 0.4122, Train Acc: 85.77%
Epoch [17/300], Train Loss: 0.4026, Train Acc: 86.33%
Epoch [18/300], Train Loss: 0.3990, Train Acc: 86.11%
Epoch [19/300], Train Loss: 0.3938, Train Acc: 86.51%
Epoch [20/300], Train Loss: 0.3796, Train Acc: 86.86%
Epoch [21/300], Train Loss: 0.3772, Train Acc: 87.14%
Epoch [22/300], Train Loss: 0.3729, Train Acc: 87.17%
Epoch [23/300], Train Loss: 0.3693, Train Acc: 87.46%
Epoch [24/300], Train Loss: 0.3637, Train Acc: 87.72%
Epoch [25/300], Train Loss: 0.3633, Train Acc: 87.48%
Epoch [26/300], Train Loss: 0.3593, Train Acc: 87.91%
Epoch [27/300], Train Loss: 0.3546, Train Acc: 87.82%
Epoch [28/300], Train Loss: 0.3525, Train Acc: 88.08%
Epoch [29/300], Train Loss: 0.3510, Train Acc: 88.06%
Epoch [30/300], Train Loss: 0.3492, Train Acc: 88.17%
Epoch [31/300], Train Loss: 0.3422, Train Acc: 88.47%
Epoch [32/300], Train Loss: 0.3456, Train Acc: 88.08%
Epoch [33/300], Train Loss: 0.3328, Train Acc: 88.62%
Epoch [34/300], Train Loss: 0.3411, Train Acc: 88.33%
Epoch [35/300], Train Loss: 0.3389, Train Acc: 88.41%
Epoch [36/300], Train Loss: 0.3310, Train Acc: 88.63%
Epoch [37/300], Train Loss: 0.3283, Train Acc: 88.84%
Epoch [38/300], Train Loss: 0.3318, Train Acc: 88.59%
Epoch [39/300], Train Loss: 0.3302, Train Acc: 88.77%
Epoch [40/300], Train Loss: 0.3314, Train Acc: 88.66%
Epoch [41/300], Train Loss: 0.3240, Train Acc: 89.07%
Epoch [42/300], Train Loss: 0.3179, Train Acc: 89.22%
Epoch [43/300], Train Loss: 0.3222, Train Acc: 89.05%
Epoch [44/300], Train Loss: 0.3228, Train Acc: 89.30%
Epoch [45/300], Train Loss: 0.3237, Train Acc: 88.92%
Epoch [46/300], Train Loss: 0.3222, Train Acc: 89.07%
Epoch [47/300], Train Loss: 0.3202, Train Acc: 89.19%
