Dataset,Training_Type,CMC_Label,Training+CMC,Standalone,Delta,Delta_Val
CIFAR10,AWP,Any_1,90.308,89.52071428571428,0.7872857142857299,0.7058571428571412
CIFAR10,AWP,Any_10,90.29333333333334,89.52071428571428,0.7726190476190595,0.5678571428571502
CIFAR10,AWP,Correct_1,89.89,89.52071428571428,0.36928571428572354,0.13119047619046853
CIFAR10,AWP,Correct_10,89.91666666666667,89.52071428571428,0.3959523809523944,0.2545238095238034
CIFAR10,ERM,Any_1,92.84,92.4825,0.3575000000000017,0.030000000000001137
CIFAR10,ERM,Any_10,92.96,92.4825,0.47749999999999204,0.0799999999999983
CIFAR10,ERM,Correct_1,92.92,92.4825,0.4375,0.3400000000000034
CIFAR10,ERM,Correct_10,92.89,92.4825,0.40749999999999886,0.39000000000000057
CIFAR10,RWP,Any_1,85.68333333333334,86.15750000000001,-0.47416666666667595,-0.30333333333331325
CIFAR10,RWP,Any_10,85.74000000000001,86.15750000000001,-0.417500000000004,-0.2566666666666606
CIFAR10,RWP,Correct_1,85.57,86.15750000000001,-0.5875000000000199,-0.2466666666666697
CIFAR10,RWP,Correct_10,86.12,86.15750000000001,-0.037500000000008527,-0.18999999999999773
CIFAR10,SAM,Any_1,87.50666666666666,87.48333333333333,0.023333333333326323,-0.28777777777776237
CIFAR10,SAM,Any_10,87.58333333333333,87.48333333333333,0.09999999999999432,0.17222222222223138
CIFAR10,SAM,Correct_1,88.54333333333334,87.48333333333333,1.0600000000000023,0.9222222222222314
Caltech101,AWP,Any_1,90.253573074,90.43547508454546,-0.18190201054545696,0.1355600589090784
Caltech101,AWP,Any_10,90.25664669000001,90.43547508454546,-0.17882839454544808,0.3097850109090814
Caltech101,AWP,Correct_1,90.21054249333334,90.43547508454546,-0.2249325912121236,0.2585423809090912
Caltech101,ERM,Any_1,90.52097741,89.7648686036842,0.7561088063157939,1.1359682844210397
Caltech101,ERM,Any_10,90.115260488,89.7648686036842,0.3503918843157976,0.9976131704210474
