Dataset,Method,RunID,Candidate,W_offset_sum,b_offset_sum,Objective_value,n,Misclassified,Accuracy_Full,Accuracy_Val,GlobalMisclassified
MNIST,MaxPerturbation,1,0,7680000,0.0001,7680000,-1,0,97.60208333,97.11666667,0
MNIST,MaxPerturbation,2,0,7680000,0.0001,7680000,-1,0,98.0875,97.78333333,0
MNIST,MaxPerturbation,3,0,7680000,0,7680000,-1,0,98.37083333,98.05,0
CIFAR10,LowerConf,2,0,512.4706938,1.532035983,1.700117341,-1,0,97.5175,91.4,0
FashionMNIST,LowerConf,1,0,223.3332948,0.274441455,2.408547482,-1,0,96.15416667,92.05,0
FashionMNIST,LowerConf,2,0,1222.599119,0.41863371,2.34929238,-1,0,95.73125,91.975,0
FashionMNIST,LowerConf,3,0,211.4250046,0.402819956,2.569683256,-1,0,95.0125,92.325,0
FashionMNIST,LowerConf,4,0,220.8623083,0.568023106,2.353763872,-1,0,96.33125,92.2,0
FashionMNIST,LowerConf,5,0,207.8522615,0.532798807,2.541101956,-1,0,95.0125,92.05833333,0
Food101,LowerConf,1,0,1566.857888,2.78028311,0.145979614,-1,0,81.4,60.46666667,0
Food101,LowerConf,2,0,3371.900758,1.380484043,0.106178763,-1,0,96.51666667,66.4,0
Food101,LowerConf,3,0,242.1869981,1.197952468,0.165759848,-1,0,65.53333333,51.53333333,0
Food101,LowerConf,4,0,8339.891946,16.14843696,0.140536167,-1,0,86.21666667,62.46666667,0
Food101,LowerConf,5,0,341.8108456,1.134088996,0.163363358,-1,0,78.4,56.73333333,0
KMNIST,LowerConf,1,0,318.6429422,0.567326214,0.869246395,-1,0,99.91041667,99.04166667,0
KMNIST,LowerConf,2,0,334.8619193,0.521449077,0.901860131,-1,0,99.9375,99.15833333,0
KMNIST,LowerConf,3,0,361.3671956,0.518816958,0.85234486,-1,0,99.95833333,99.28333333,0
KMNIST,LowerConf,4,0,332.0939502,0.324414431,0.834627442,-1,0,99.9625,99.05833333,0
KMNIST,LowerConf,5,0,414.2573594,0.491942566,0.720739128,-1,0,100,99.43333333,0
MNIST,LowerConf,1,0,181.9684836,13.55139813,325.7023882,-1,0,97.60208333,97.08333333,0
MNIST,LowerConf,2,0,49.73555872,2.370130866,145.5119213,-1,0,98.0875,97.80833333,0
MNIST,LowerConf,3,0,83944.78329,4.871902559,347.8723279,-1,0,98.37083333,98.06666667,0
MNIST,LowerConf,4,0,38.71220556,2.625789321,208.8872369,-1,0,98.275,97.53333333,0
MNIST,LowerConf,5,0,2231844.793,5.153642233,382.2846898,-1,0,97.93333333,97.64166667,0
office31,LowerConf,1,0,1041.231211,7.312130056,0.01803,-1,0,98.83527454,21.11111111,0
office31,LowerConf,2,0,787.077257,1.944108527,0.01803,-1,0,95.39656129,20.22222222,0
office31,LowerConf,3,0,854.9627218,1.836338009,0.01803,-1,0,99.27897948,21.33333333,0
office31,LowerConf,4,0,993.2736938,1.719727752,0.01803,-1,0,99.77814753,17.11111111,0
USPS,LowerConf,1,0,120.7549862,0.296949093,0.060151793,-1,0,99.87997257,98.97119342,0
USPS,LowerConf,2,0,224.1330579,0.334282383,0.060108084,-1,0,99.98285322,99.31412894,0
USPS,LowerConf,3,0,132.8959665,0.339381052,0.059221769,-1,0,99.98285322,99.03978052,0
USPS,LowerConf,4,0,134.4349328,0.287423564,0.06021617,-1,0,100,99.24554184,0
USPS,LowerConf,5,0,131.2628362,0.422852685,0.061333445,-1,0,99.58847737,98.49108368,0
Caltech101,MisCls_Any,1,0,1.081732744,0,1.081732744,1000,1,99.82712255,89.46963874,2
Caltech101,MisCls_Any,2,0,0.568062258,0,0.568062256,1000,1,99.78870534,90.39200615,2
Caltech101,MisCls_Any,3,0,1.292152221,0,1.292152221,1000,1,99.96158279,90.1614143,1
Caltech101,MisCls_Any,4,0,0.131399301,0,0.131399301,1000,1,99.86553976,89.85395849,1
Caltech101,MisCls_Any,5,0,1.021816231,0,1.021816219,1000,1,99.94237418,91.62182936,1
CIFAR10,MisCls_Any,2,0,0.045549988,0,0.045549988,1000,1,97.57,92.16,5
FashionMNIST,MisCls_Any,1,0,0.003467936,0,0.003467936,1000,1,96.15833333,92.65,6
FashionMNIST,MisCls_Any,2,0,0.015188619,0,0.015188619,1000,1,95.73125,92.51666667,7
FashionMNIST,MisCls_Any,3,0,0.00028618,0,0.00028618,1000,1,95.01041667,92.66666667,1
FashionMNIST,MisCls_Any,4,0,0.000432514,0,0.000432514,1000,1,96.33125,92.85833333,2
FashionMNIST,MisCls_Any,5,0,0.002854588,0,0.002854588,1000,1,95.01458333,92.68333333,2
Food101,MisCls_Any,1,0,0.002270812,0,0.002270812,1000,1,81.38333333,63.6,1
Food101,MisCls_Any,2,0,0.002802597,0,0.002802597,1000,1,96.5,68.73333333,1
Food101,MisCls_Any,3,0,0.000671984,0,0.000671984,1000,1,65.53333333,53.8,1
Food101,MisCls_Any,4,0,0,0.00283128,0.00283128,1000,1,86.25,65.53333333,2
Food101,MisCls_Any,5,0,0.001609763,0,0.001609763,1000,1,78.4,59.6,2
KMNIST,MisCls_Any,1,0,0.026255279,0,0.026255279,1000,1,99.90833333,99.125,1
KMNIST,MisCls_Any,2,0,0.526791881,0,0.526791881,1000,1,99.92916667,99.25833333,4
KMNIST,MisCls_Any,3,0,0.413675465,0,0.413675465,1000,1,99.95416667,99.30833333,2
KMNIST,MisCls_Any,4,0,0.098923344,0,0.098923344,1000,1,99.96041667,99.125,1
KMNIST,MisCls_Any,5,0,3.316556524,0,3.316556524,1000,1,99.99583333,99.41666667,2
MNIST,MisCls_Any,1,0,0.003801117,0,0.003801117,1000,1,97.6,97.10833333,5
MNIST,MisCls_Any,2,0,0.015003241,0,0.015003241,1000,1,98.075,97.78333333,10
MNIST,MisCls_Any,3,0,0.002006625,0,0.002006625,1000,1,98.37291667,98.04166667,2
MNIST,MisCls_Any,4,0,0.000246522,0,0.000246522,1000,1,98.27291667,97.51666667,1
MNIST,MisCls_Any,5,0,0.007537477,0,0.007537477,1000,1,97.91875,97.61666667,7
office31,MisCls_Any,1,0,0.170411223,0,0.170411223,1000,1,98.77981143,75.55555556,1
office31,MisCls_Any,2,0,0.201262707,0,0.201262707,1000,1,95.4520244,72.22222222,1
office31,MisCls_Any,3,0,0.000521449,0,0.000521449,1000,1,99.22351636,74.66666667,1
office31,MisCls_Any,4,0,0.078452544,0,0.078452544,1000,1,99.72268441,76.22222222,1
office31,MisCls_Any,5,0,0.897479638,0,0.897479638,1000,1,99.77814753,73.55555556,1
SVHN,MisCls_Any,1,0,0,0.006635079,0.006635079,1000,1,96.62827404,93.50215002,1
SVHN,MisCls_Any,2,0,0,0.049434848,0.049434848,1000,1,96.48323522,93.80929629,15
SVHN,MisCls_Any,3,0,0,0.064489134,0.064489134,1000,1,96.45081478,93.74786704,16
SVHN,MisCls_Any,4,0,2.72E-10,0.138890305,0.138890304,1000,1,95.49867759,93.25643301,30
SVHN,MisCls_Any,5,0,0,0.000180806,0.000180806,1000,1,96.47299718,93.67278684,1
USPS,MisCls_Any,1,0,0.092046559,0,0.092046559,1000,1,99.84567901,98.97119342,2
