Run,Phase,Method,Epoch,Train_loss,Train_acc,Val_loss,Val_acc
1,Train,AWP,1,2.2755219379366745,18.564968859312344,2.2351498407240604,19.384342365708825
1,Train,AWP,2,2.2397603036014275,18.769729545260642,2.234543449829385,19.404818783700772
1,Train,AWP,3,2.2392894774024663,18.80044364815289,2.2327739994694014,19.404818783700772
1,Train,AWP,4,2.2392490935637963,18.80044364815289,2.235329370174495,19.404818783700772
1,Train,AWP,5,2.239300853300303,18.80044364815289,2.232973401273577,19.404818783700772
1,Train,AWP,6,2.2395187850602327,18.80044364815289,2.2325845951025385,19.404818783700772
1,Train,AWP,7,2.239475175282841,18.80044364815289,2.2330722634063775,19.404818783700772
1,Train,AWP,8,2.239127899882054,18.80044364815289,2.235360464149185,19.404818783700772
1,Train,AWP,9,2.2389378141628082,18.80044364815289,2.2356083896589576,19.404818783700772
1,Train,AWP,10,2.239241547980163,18.80044364815289,2.2335119732865927,19.404818783700772
1,Train,AWP,11,2.239144883301581,18.80044364815289,2.233529607376282,19.404818783700772
1,Train,AWP,12,2.2391985738121267,18.80044364815289,2.2344166428292134,19.404818783700772
1,Train,AWP,13,2.2394476702119586,18.80044364815289,2.2331652433324956,19.404818783700772
1,Train,AWP,14,2.239244850962443,18.80044364815289,2.2354186686319943,19.404818783700772
1,Train,AWP,15,2.239480007163302,18.80044364815289,2.234370733265925,19.404818783700772
1,Train,AWP,16,2.239038961423016,18.80044364815289,2.2328192236382645,19.404818783700772
1,Train_Test,AWP,-1,2.2325845951025385,19.404818783700772,-,-
2,Train,AWP,1,2.2732781629895538,18.582032249808037,2.2369467411161033,18.65401679066275
2,Train,AWP,2,2.2387526951502505,18.988140943605494,2.2356624677314523,18.65401679066275
2,Train,AWP,3,2.2383682535204823,18.988140943605494,2.2363671848175266,18.65401679066275
2,Train,AWP,4,2.2384464490882174,18.988140943605494,2.236021556509907,18.65401679066275
2,Train,AWP,5,2.2384142250993886,18.988140943605494,2.2361030462910865,18.65401679066275
2,Train,AWP,6,2.238170542571222,18.988140943605494,2.237561504341752,18.65401679066275
2,Train,AWP,7,2.2386320777335023,18.91988738162273,2.2365294810684295,18.65401679066275
2,Train,AWP,8,2.238243005681767,18.988140943605494,2.237788709924698,18.65401679066275
2,Train,AWP,9,2.2385228882710484,18.988140943605494,2.2397248570353216,18.65401679066275
2,Train,AWP,10,2.23861190429421,18.988140943605494,2.2385635286799452,18.65401679066275
2,Train,AWP,11,1.711467183768489,38.97449023120894,0.7588418962955312,75.79687393351989
2,Train,AWP,12,0.3977271150228238,87.9754287176862,0.32910539544358547,90.150842945874
2,Train,AWP,13,0.2737473911528504,91.96143673747974,0.28167883723182946,91.91181489318136
2,Train,AWP,14,0.23873215521722382,93.15587407217814,0.24673565563126462,93.21548017200192
2,Train,AWP,15,0.21625513134434754,93.9322583397321,0.23455566363720004,93.28373489864173
2,Train,AWP,16,0.20089910787786458,94.4134459517106,0.24461472158537456,93.00389051941848
2,Train,AWP,17,0.1875498493783599,94.89975258083781,0.20941510610218855,94.11644256364754
2,Train,AWP,18,0.17785117932184555,95.10280692773654,0.20918853029595505,94.34168316155893
2,Train,AWP,19,0.1696184683981551,95.607883286409,0.20455170583947918,94.22565012627125
2,Train,AWP,20,0.16384524778833034,95.64883542359867,0.22013927342891532,93.95263121971196
2,Train,AWP,21,0.1572601615601752,95.83994539715042,0.21996616334298733,93.98675858303187
2,Train,AWP,22,0.15293793130552144,96.05835679549527,0.2054809514438485,94.45771619684663
2,Train,AWP,23,0.14429323569623403,96.33307738247589,0.2002578946634589,94.45771619684663
2,Train,AWP,24,0.14186407875383525,96.43375138640047,0.19859559407747449,94.6215275407822
2,Train,AWP,25,0.13827398425073864,96.4661718283423,0.19101428156069591,94.78533888471776
2,Train,AWP,26,0.1312420349405452,96.74089241532292,0.19033626089095418,94.79898983004573
2,Train,AWP,27,0.12893283700236977,96.88422489548674,0.18240747086204903,95.05153231861307
2,Train,AWP,28,0.1265456711702602,96.8859312345363,0.19050318960988571,94.75121152139786
2,Train,AWP,29,0.12183271648614427,96.98831157751044,0.19745568247730272,94.6624803767661
2,Train,AWP,30,0.11743992877774363,97.1845405682109,0.19167910629665882,94.83311719336564
2,Train,AWP,31,0.11760086022463818,97.17942155106219,0.19677266559701073,94.52597092348645
2,Train,AWP,32,0.11358167032617669,97.25791314734238,0.1877044629854567,94.7375605760699
2,Train,AWP,33,0.11078286107515664,97.36882518556438,0.1910868291012395,94.45089072418266
2,Train,AWP,34,0.10881691002266636,97.47632454568723,0.19302710746345353,94.6215275407822
2,Train,AWP,35,0.10542138094106876,97.53263373432301,0.18428419881587582,95.03105590062111
2,Train,AWP,36,0.10403802500037257,97.55310980291785,0.19012864172950913,94.83311719336564
2,Train,AWP,37,0.09835728870371284,97.73056906407304,0.19268881605799373,94.62835301344619
2,Train_Test,AWP,-1,0.18240747086204903,95.05153231861307,-,-
CMC_Any_1,,,,,,,
1,GurobiComplete_Train,-1,-1,17.9
1,GurobiComplete_Val,-1,-1,19.39799331103679
1,CMC,Any,1,Gurobi_Complete_Eval_Train,-1,2.243996914307134,18.80214998720246
1,CMC,Any,1,Gurobi_Complete_Eval_Val,-1,2.240441520648087,19.39799331103679
1,CMC,Any,1,Gurobi_Complete_Eval_Test,-1,2.233375794915385,19.587430854333128
1,GurobiEdit,AWP_CMC_Any,1,2.239329072585793,18.79873730910332,2.233188423994222,19.404818783700772
1,GurobiEdit,AWP_CMC_Any,2,2.239316636818465,18.80044364815289,2.2329644642139197,19.404818783700772
1,GurobiEdit,AWP_CMC_Any,3,2.2391044484475815,18.80044364815289,2.2352675372411364,19.404818783700772
1,GurobiEdit,AWP_CMC_Any,4,2.239116044544237,18.80044364815289,2.2341710936615518,19.404818783700772
1,GurobiEdit,AWP_CMC_Any,5,2.2393370075517347,18.80044364815289,2.232565711068746,19.404818783700772
1,GurobiEdit,AWP_CMC_Any,6,2.2390419833004214,18.80044364815289,2.233260853169648,19.404818783700772
1,GurobiEdit,AWP_CMC_Any,7,2.239194270825282,18.80044364815289,2.2333156214371597,19.404818783700772
1,GurobiEdit,AWP_CMC_Any,8,2.2393742315633847,18.80044364815289,2.233413889565799,19.404818783700772
1,GurobiEdit,AWP_CMC_Any,9,2.2392323699059964,18.80044364815289,2.2346913065001317,19.404818783700772
1,GurobiEdit,AWP_CMC_Any,10,2.2390825909818624,18.80044364815289,2.234252595094339,19.404818783700772
1,GurobiEdit,AWP_CMC_Any,11,2.2390228546342477,18.80044364815289,2.234261133249168,19.404818783700772
1,GurobiEdit,AWP_CMC_Any,12,2.2392171017467715,18.80044364815289,2.2335321565559965,19.404818783700772
1,GurobiEdit,AWP_CMC_Any,13,2.239417441547177,18.80044364815289,2.2342191754034473,19.404818783700772
1,GurobiEdit,AWP_CMC_Any,14,2.239394358151865,18.80044364815289,2.233294371101817,19.404818783700772
1,GurobiEdit,AWP_CMC_Any,15,2.2395127871151055,18.80044364815289,2.2334166351792497,19.404818783700772
1,GurobiEdit_Test,AWP_CMC_Any,-1,2.232565711068746,19.404818783700772,-,-
CMC_Any_1,,,,,,,
