Run,Phase,TrainingType,Epoch,Train_loss,Train_acc,Val_loss,Val_acc
1,Train,AWP,1,2.9460153077778064,24.57016084303938,2.759562496609158,36.44444444444444
1,Train,AWP,2,2.5373911104704203,37.60399334442596,2.2359319978290135,40.666666666666664
1,Train,AWP,3,2.047940078534578,49.91680532445923,2.0637091382344566,45.333333333333336
1,Train,AWP,4,1.8073998480512385,54.63117027176927,1.8845192045635648,54.666666666666664
1,Train,AWP,5,1.5992633710827744,59.51192457016084,1.6673002359602187,54.888888888888886
1,Train,AWP,6,1.4448041874065733,63.50526899611758,1.5473103867636786,62.22222222222222
1,Train,AWP,7,1.3064585955519425,66.3338879645036,1.4000724550088246,64.0
1,Train,AWP,8,1.193572267105705,69.32889628397116,1.3272520565986634,64.66666666666667
1,Train,AWP,9,1.0893248079115885,72.10205213533001,1.2670173721181022,68.0
1,Train,AWP,10,1.0031815955513401,74.93067110371602,1.2854832881026799,67.33333333333333
1,Train,AWP,11,0.918022895068453,76.87188019966722,1.205408958527777,72.22222222222223
1,Train,AWP,12,0.843886699592858,78.86855241264558,1.1915939570797813,70.0
1,Train,AWP,13,0.7852467732471332,80.64337215751526,1.0770565793911615,71.77777777777777
1,Train,AWP,14,0.719267316554722,82.47365501941209,1.044784296254317,72.44444444444444
1,Train,AWP,15,0.662684722950584,84.58125346644482,1.0143060813347498,73.55555555555556
1,Train,AWP,16,0.6067535788343664,85.63505268996117,1.4151901225248973,72.44444444444444
1,Train,AWP,17,0.5702810627326631,87.07709373266778,1.8886270315117306,71.55555555555556
1,Train,AWP,18,0.5591096344747042,87.40987243483083,0.9401096397638321,75.55555555555556
1,Train,AWP,19,0.5029552139733967,89.12922906267332,1.0392158953017658,73.55555555555556
1,Train,AWP,20,0.4857850388476723,89.35108153078203,0.9157233566873604,75.11111111111111
1,Train,AWP,21,0.45277981120243405,90.34941763727122,1.1139090227087338,73.77777777777777
1,Train,AWP,22,0.44314310163782356,89.79478646699944,1.0612082686358029,74.44444444444444
1,Train,AWP,23,0.3979252046137525,91.34775374376039,0.9198426521486707,75.11111111111111
1,Train,AWP,24,0.4057222385155527,91.62506932889629,1.0158790016174317,74.44444444444444
1,Train,AWP,25,0.35561179957891764,92.56794231835829,0.8900554101500247,76.0
1,Train,AWP,26,0.3036941042856166,93.67720465890183,0.9304948268996345,73.77777777777777
1,Train,AWP,27,0.3177965672915442,93.89905712701054,0.8806383106278048,76.44444444444444
1,Train,AWP,28,0.2405729747393675,95.95119245701608,0.8960872684750292,76.44444444444444
1,Train,AWP,29,0.20753741865618186,96.72767609539656,0.8707939266165098,76.0
1,Train,AWP,30,0.18962736578102699,96.50582362728785,0.8803268029292425,76.0
1,Train,AWP,31,0.16706813244443192,97.50415973377704,0.8778540126648214,75.77777777777777
1,Train,AWP,32,0.14223513418906614,97.50415973377704,0.9062732890910572,76.0
1,Train,AWP,33,0.1321867195268472,97.33777038269551,0.874458911716938,77.33333333333333
1,Train,AWP,34,0.12248898428260234,98.28064337215751,0.9084461864497927,76.0
1,Train,AWP,35,0.11137783226736805,98.28064337215751,0.8427839321891467,76.88888888888889
1,Train,AWP,36,0.1018865842437535,98.33610648918469,0.8611039531727632,77.77777777777777
1,Train,AWP,37,0.09121243871356312,98.72434830837493,0.8728174126976066,76.88888888888889
1,Train,AWP,38,0.08278991698630546,98.66888519134775,0.8316532797449165,77.11111111111111
1,Train,AWP,39,0.07967456538034112,98.0587909040488,0.8361314262946447,77.55555555555556
1,Train,AWP,40,0.0759597726885164,98.66888519134775,0.8446998374991946,77.77777777777777
1,Train,AWP,41,0.06772582724755793,98.83527454242929,0.8626688791066408,76.44444444444444
1,Train,AWP,42,0.0634453607429015,98.50249584026622,0.8356901842355728,78.22222222222223
1,Train,AWP,43,0.061470926804631426,98.94620077648364,0.874128685709503,76.88888888888889
1,Train,AWP,44,0.05513471150934173,99.00166389351081,0.8782929066320261,76.44444444444444
1,Train,AWP,45,0.055913824686094335,98.89073765945646,0.9013631963150369,76.0
1,Train,AWP,46,0.0547855503350627,98.83527454242929,0.8467632536424531,76.88888888888889
1,Train,AWP,47,0.04948966579283016,98.89073765945646,0.8905146391027503,76.22222222222223
1,Train,AWP,48,0.04826557636260986,98.89073765945646,0.8824460287474923,76.22222222222223
1,Train_Test,AWP,-1,0.8316532797449165,77.11111111111111,-,-
CMC_Any_1,,,,,,,
1,GurobiComplete_Train,-1,-1,98.4
1,GurobiComplete_Val,-1,-1,77.11111111111111
1,CMC,Any,1,Gurobi_Complete_Eval_Train,-1,0.06040339675875039,98.44703272323905
1,CMC,Any,1,Gurobi_Complete_Eval_Val,-1,0.8300379917025567,77.11111111111111
1,CMC,Any,1,Gurobi_Complete_Eval_Test,-1,0.8752519682076219,76.73179396092362
