Dataset,Candidate,Checkpoint,Train_loss,Train_acc,Val_loss,Val_acc,Test_loss,Test_acc,Solve_Time
CIFAR10,-1,./checkpoints/CIFAR10/Run2_full_checkpoint.pth,0.072508231,97.7175,0.235620295,92.53,0.22894703,0.9246,-1
CIFAR10,-1,./checkpoints/CIFAR10/Run2_full_checkpoint.pth,0.072508231,97.7175,0.235620295,92.53,0.22894703,0.9246,-1
CIFAR10,0,./checkpoints/CIFAR10/Run2_checkpoint_0.pth,0.05915651,98.2125,0.232905307,92.61,0.220836424,0.9263,649.2737725
CIFAR10,1,./checkpoints/CIFAR10/Run2_checkpoint_1.pth,0.051836626,98.415,0.229994362,92.88,0.222313836,0.9259,650.2293634
CIFAR10,2,./checkpoints/CIFAR10/Run2_checkpoint_2.pth,0.043423006,98.66,0.226510645,93.12,0.22129481,0.9295,650.473418
CIFAR10,3,./checkpoints/CIFAR10/Run2_checkpoint_3.pth,0.029506179,99.12,0.249702661,92.82,0.229425921,0.9311,650.7317762
CIFAR10,4,./checkpoints/CIFAR10/Run2_checkpoint_4.pth,0.030182906,99.1175,0.242709796,92.79,0.224482646,0.9313,650.1280501
CIFAR10,5,./checkpoints/CIFAR10/Run2_checkpoint_5.pth,0.021366523,99.4,0.243496712,92.81,0.234862509,0.9314,650.609653
CIFAR10,6,./checkpoints/CIFAR10/Run2_checkpoint_6.pth,0.017573785,99.585,0.230807882,93.46,0.225374367,0.9326,650.7581015
CIFAR10,7,./checkpoints/CIFAR10/Run2_checkpoint_7.pth,0.022841336,99.63,0.21806214,93.34,0.211091141,0.9333,650.3447235
CIFAR10,8,./checkpoints/CIFAR10/Run2_checkpoint_8.pth,0.012660896,99.6925,0.234588427,93.5,0.223165467,0.9373,385.3261125
CIFAR10,9,./checkpoints/CIFAR10/Run2_checkpoint_9.pth,0.010885996,99.79,0.242026905,93.12,0.217777645,0.9387,650.5310817
CIFAR10,10,./checkpoints/CIFAR10/Run2_checkpoint_10.pth,0.013851505,99.7575,0.245261536,93.14,0.230047886,0.9353,650.378937
CIFAR10,11,./checkpoints/CIFAR10/Run2_checkpoint_11.pth,0.01163357,99.8375,0.243114874,93.23,0.227105688,0.9353,651.0052409
CIFAR10,12,./checkpoints/CIFAR10/Run2_checkpoint_12.pth,0.008683428,99.855,0.239066228,93.43,0.218709186,0.9385,650.9192615
CIFAR10,13,./checkpoints/CIFAR10/Run2_checkpoint_13.pth,0.007401909,99.88,0.250190554,93.33,0.239789572,0.9364,650.3405123
CIFAR10,14,./checkpoints/CIFAR10/Run2_checkpoint_14.pth,0.008748078,99.86,0.242425292,93.06,0.227843871,0.9336,651.0307553
CIFAR10,16,./checkpoints/CIFAR10/Run2_checkpoint_16.pth,0.004115275,99.9625,0.260306895,93.39,0.245098474,0.9367,650.1598299
CIFAR10,17,./checkpoints/CIFAR10/Run2_checkpoint_17.pth,0.004093631,99.945,0.257394692,93.38,0.244116769,0.938,650.8450515
CIFAR10,18,./checkpoints/CIFAR10/Run2_checkpoint_18.pth,0.004529694,99.9575,0.25125313,93.43,0.239268694,0.9377,650.7009399
MNIST,-1,./checkpoints/MNIST/Run2_full_checkpoint.pth,0.063198177,98.0875,0.073068193,97.79166667,0.065687956,0.979,-1
MNIST,-1,./checkpoints/MNIST/Run2_full_checkpoint.pth,0.063198177,98.0875,0.073068193,97.79166667,0.065687956,0.979,-1
MNIST,3,./checkpoints/MNIST/Run2_checkpoint_3.pth,0.065314081,97.91666667,0.071925415,97.8,0.066411969,0.9779,603.7197886
MNIST,5,./checkpoints/MNIST/Run2_checkpoint_5.pth,0.060797298,98.11458333,0.070246057,97.8,0.063877739,0.981,604.441823
MNIST,6,./checkpoints/MNIST/Run2_checkpoint_6.pth,0.055561082,98.19375,0.068569506,97.94166667,0.05820052,0.9821,604.4324477
MNIST,7,./checkpoints/MNIST/Run2_checkpoint_7.pth,0.047787425,98.4625,0.06159021,98.18333333,0.051437959,0.9832,604.476342
MNIST,8,./checkpoints/MNIST/Run2_checkpoint_8.pth,0.046191897,98.59791667,0.062704912,98.03333333,0.058921104,0.9806,604.4450712
MNIST,9,./checkpoints/MNIST/Run2_checkpoint_9.pth,0.040535662,98.74375,0.056415861,98.26666667,0.049961266,0.9833,604.5312276
MNIST,10,./checkpoints/MNIST/Run2_checkpoint_10.pth,0.039911318,98.825,0.056968368,98.23333333,0.052473485,0.9813,604.4843879
MNIST,11,./checkpoints/MNIST/Run2_checkpoint_11.pth,0.036704975,98.86041667,0.057814801,98.23333333,0.049673961,0.9841,604.4591579
MNIST,12,./checkpoints/MNIST/Run2_checkpoint_12.pth,0.027648545,99.14583333,0.054878627,98.325,0.048692967,0.9867,604.4178472
MNIST,14,./checkpoints/MNIST/Run2_checkpoint_14.pth,0.021406726,99.38958333,0.053334616,98.45,0.048251065,0.9852,604.4440036
MNIST,16,./checkpoints/MNIST/Run2_checkpoint_16.pth,0.016415249,99.45416667,0.057440558,98.45,0.049103214,0.9855,604.3727176
MNIST,17,./checkpoints/MNIST/Run2_checkpoint_17.pth,0.016258,99.50625,0.059767562,98.34166667,0.0507123,0.9849,604.4682822
MNIST,18,./checkpoints/MNIST/Run2_checkpoint_18.pth,0.009482526,99.77291667,0.059865656,98.525,0.055425614,0.985,604.4893386
MNIST,20,./checkpoints/MNIST/Run2_checkpoint_20.pth,0.008925401,99.79375,0.062127853,98.45,0.055483525,0.9841,604.5414166
MNIST,21,./checkpoints/MNIST/Run2_checkpoint_21.pth,0.006664485,99.87916667,0.063764273,98.48333333,0.055747356,0.9855,604.4681342
MNIST,22,./checkpoints/MNIST/Run2_checkpoint_22.pth,0.007157942,99.88333333,0.064436143,98.4,0.056553367,0.9849,604.4763236
MNIST,23,./checkpoints/MNIST/Run2_checkpoint_23.pth,0.009337564,99.81875,0.065060409,98.46666667,0.057775586,0.9852,604.4987109
MNIST,24,./checkpoints/MNIST/Run2_checkpoint_24.pth,0.006324003,99.9,0.065901258,98.50833333,0.05862364,0.985,604.3923571
MNIST,25,./checkpoints/MNIST/Run2_checkpoint_25.pth,0.005695786,99.88333333,0.068709237,98.44166667,0.060750519,0.9852,604.4551539
MNIST,26,./checkpoints/MNIST/Run2_checkpoint_26.pth,0.008260073,99.76666667,0.068074907,98.375,0.061762407,0.9836,604.4408252
MNIST,27,./checkpoints/MNIST/Run2_checkpoint_27.pth,0.015067209,99.59375,0.058049503,98.38333333,0.050956337,0.9847,604.3710184
MNIST,28,./checkpoints/MNIST/Run2_checkpoint_28.pth,0.022887276,99.275,0.055921724,98.40833333,0.045137569,0.9859,604.4655108
MNIST,29,./checkpoints/MNIST/Run2_checkpoint_29.pth,0.028401065,99.1125,0.059370299,98.34166667,0.050969622,0.9844,604.4354293
MNIST,30,./checkpoints/MNIST/Run2_checkpoint_30.pth,0.032572095,98.9625,0.056903295,98.28333333,0.057901212,0.9825,604.5045078
MNIST,Ensemble,,,,,,,98.62,
