Epoch,Train Loss,Train Acc,Test Acc,Method
1,0.65993923,0.88301814,0.88300341,Train
2,0.63105494,0.88301814,0.88300341,Train
3,0.60239124,0.88301814,0.88300341,Train
4,0.56649613,0.88301814,0.88300341,Train
5,0.52240258,0.88301814,0.88300341,Train
6,0.47310382,0.88301814,0.88300341,Train
7,0.42626780,0.88301814,0.88300341,Train
8,0.39256066,0.88301814,0.88300341,Train
9,0.38121060,0.88301814,0.88300341,Train
10,0.38953921,0.88301814,0.88300341,Train
11,0.39944723,0.88301814,0.88300341,Train
12,0.39870578,0.88301814,0.88300341,Train
13,0.38733792,0.88301814,0.88300341,Train
14,0.37049440,0.88301814,0.88300341,Train
15,0.35327965,0.88301814,0.88300341,Train
16,0.33935893,0.88301814,0.88300341,Train
17,0.33029571,0.88301814,0.88300341,Train
18,0.32554063,0.88301814,0.88300341,Train
19,0.32326511,0.88301814,0.88300341,Train
20,0.32142356,0.88301814,0.88300341,Train
21,0.31851953,0.88301814,0.88300341,Train
22,0.31391916,0.88301814,0.88300341,Train
23,0.30780089,0.88301814,0.88300341,Train
24,0.30089706,0.88301814,0.88300341,Train
25,0.29418731,0.88301814,0.88300341,Train
26,0.28856501,0.88301814,0.88300341,Train
27,0.28453982,0.88301814,0.88300341,Train
28,0.28205773,0.88301814,0.88300341,Train
29,0.28042108,0.88301814,0.88300341,Train
30,0.27871498,0.88301814,0.88300341,Train
31,0.27632520,0.88301814,0.88300341,Train
32,0.27318749,0.88301814,0.88300341,Train
33,0.26968884,0.88301814,0.88300341,Train
34,0.26639101,0.88301814,0.88300341,Train
35,0.26370737,0.88301814,0.88300341,Train
36,0.26176438,0.88301814,0.88300341,Train
37,0.26039031,0.88301814,0.88300341,Train
38,0.25925079,0.88301814,0.88300341,Train
39,0.25806424,0.88301814,0.88300341,Train
40,0.25671127,0.88301814,0.88300341,Train
41,0.25524199,0.88301814,0.88300341,Train
42,0.25383577,0.88301814,0.88300341,Train
43,0.25267917,0.88301814,0.88300341,Train
44,0.25187317,0.88301814,0.88300341,Train
45,0.25137845,0.88301814,0.88300341,Train
46,0.25103644,0.88301814,0.88300341,Train
47,0.25065380,0.88301814,0.88300341,Train
48,0.25012115,0.88301814,0.88300341,Train
49,0.24945909,0.88301814,0.88300341,Train
50,0.24877006,0.88301814,0.88300341,Train
51,0.24815997,0.88301814,0.88300341,Train
52,0.24767442,0.88301814,0.88300341,Train
53,0.24728815,0.88301814,0.88300341,Train
54,0.24693125,0.88301814,0.88300341,Train
55,0.24653634,0.88301814,0.88300341,Train
56,0.24608257,0.88301814,0.88300341,Train
57,0.24559672,0.88301814,0.88300341,Train
58,0.24513023,0.88301814,0.88300341,Train
59,0.24472474,0.88301814,0.88300341,Train
60,0.24438477,0.88301814,0.88300341,Train
61,0.24407621,0.88301814,0.88300341,Train
62,0.24375206,0.88301814,0.88300341,Train
63,0.24338971,0.88301814,0.88300341,Train
64,0.24298121,0.88301814,0.88300341,Train
65,0.24256742,0.88301814,0.88300341,Train
66,0.24217203,0.88301814,0.88300341,Train
67,0.24180414,0.88301814,0.88300341,Train
68,0.24145049,0.88301814,0.88300341,Train
69,0.24108495,0.88301814,0.88300341,Train
70,0.24069659,0.88301814,0.88300341,Train
71,0.24029148,0.88301814,0.88300341,Train
72,0.23989660,0.88301814,0.88300341,Train
73,0.23952453,0.88301814,0.88300341,Train
74,0.23916528,0.88301814,0.88300341,Train
75,0.23879699,0.88301814,0.88300341,Train
76,0.23841269,0.88301814,0.88300341,Train
77,0.23802474,0.88301814,0.88300341,Train
78,0.23764868,0.88301814,0.88300341,Train
79,0.23728479,0.88301814,0.88300341,Train
80,0.23691680,0.88301814,0.88300341,Train
81,0.23653486,0.88301814,0.88300341,Train
82,0.23614147,0.88301814,0.88300341,Train
83,0.23574737,0.88301814,0.88300341,Train
84,0.23535280,0.88301814,0.88300341,Train
85,0.23494987,0.88301814,0.88300341,Train
86,0.23453036,0.88301814,0.88300341,Train
87,0.23409449,0.88301814,0.88300341,Train
88,0.23365672,0.88304579,0.88300341,Train
89,0.23321488,0.88299048,0.88300341,Train
90,0.23276076,0.88346052,0.88278228,Train
91,0.23229170,0.88531297,0.88322461,Train
92,0.23181765,0.88683367,0.88455158,Train
93,0.23133469,0.88962620,0.88632089,Train
94,0.23083742,0.89073211,0.88875371,Train
95,0.23034029,0.89288872,0.89118654,Train
96,0.22984228,0.89526653,0.89494640,Train
97,0.22932017,0.89985621,0.89771092,Train
98,0.22880436,0.90115571,0.89881676,Train
99,0.22828449,0.90201283,0.89859557,Train
100,0.22775039,0.90245521,0.89959085,Train
101,0.22723190,0.90262109,0.89948028,Train
102,0.22669308,0.90286994,0.89948028,Train
103,0.22617552,0.90314645,0.89936966,Train
104,0.22564496,0.90331233,0.90003318,Train
105,0.22513112,0.90350586,0.90014374,Train
106,0.22460838,0.90416944,0.90047550,Train
107,0.22408834,0.90411413,0.90113902,Train
108,0.22358133,0.90441829,0.90113902,Train
109,0.22305642,0.90458417,0.90069669,Train
110,0.22253604,0.90499890,0.90124959,Train
111,0.22203496,0.90519243,0.90080726,Train
112,0.22153987,0.90425235,0.90069669,Train
113,0.22103176,0.90508187,0.90113902,Train
114,0.22052570,0.90477771,0.90047550,Train
115,0.22000684,0.90510947,0.90069669,Train
116,0.21950550,0.90466708,0.90069669,Train
117,0.21901251,0.90519243,0.90025437,Train
118,0.21854790,0.90486068,0.90080726,Train
119,0.21816145,0.90557951,0.90047550,Train
120,0.21802612,0.90516478,0.90091783,Train
121,0.21781108,0.90549660,0.90069669,Train
122,0.21715228,0.90593892,0.90147078,Train
123,0.21633086,0.90566248,0.90158135,Train
124,0.21639915,0.90604955,0.90047550,Train
125,0.21606795,0.90585601,0.90147078,Train
126,0.21510620,0.90610486,0.90191311,Train
127,0.21519309,0.90665781,0.90080726,Train
128,0.21490733,0.90674078,0.90136015,Train
129,0.21387412,0.90704489,0.90202367,Train
130,0.21405326,0.90696198,0.90047550,Train
131,0.21371166,0.90751493,0.90113902,Train
132,0.21264742,0.90762550,0.90113902,Train
133,0.21294019,0.90784669,0.90058607,Train
134,0.21252057,0.90828907,0.90124959,Train
135,0.21142718,0.90790200,0.90147078,Train
136,0.21182844,0.90839970,0.90069669,Train
137,0.21135592,0.90898031,0.90124959,Train
138,0.21020406,0.90795732,0.90169191,Train
139,0.21075808,0.90889734,0.90036494,Train
140,0.21026620,0.90980977,0.90102839,Train
141,0.20897400,0.90870380,0.90147078,Train
142,0.20975895,0.90920150,0.90147078,Train
143,0.20922956,0.91027981,0.90158135,Train
144,0.20776081,0.90972686,0.90047550,Train
145,0.20886520,0.90961623,0.90169191,Train
146,0.20820852,0.91033512,0.90158135,Train
147,0.20662533,0.91074985,0.90058607,Train
148,0.20812708,0.91016918,0.90246600,Train
149,0.20707542,0.91050100,0.90290833,Train
150,0.20563039,0.91135812,0.89925909,Train
151,0.20729893,0.91058391,0.90235543,Train
