Epoch,Train Loss,Train Acc,Test Acc,Method
1,0.74227530,0.22832339,0.22592060,Train
2,0.70075780,0.88299048,0.88300341,Train
3,0.65934980,0.88301814,0.88300341,Train
4,0.60996932,0.88301814,0.88300341,Train
5,0.55137420,0.88301814,0.88300341,Train
6,0.48824719,0.88301814,0.88300341,Train
7,0.43310502,0.88301814,0.88300341,Train
8,0.39896294,0.88301814,0.88300341,Train
9,0.39191905,0.88301814,0.88300341,Train
10,0.40322769,0.88301814,0.88300341,Train
11,0.41354322,0.88301814,0.88300341,Train
12,0.41229486,0.88301814,0.88300341,Train
13,0.39988559,0.88301814,0.88300341,Train
14,0.38116583,0.88301814,0.88300341,Train
15,0.36152831,0.88301814,0.88300341,Train
16,0.34506562,0.88301814,0.88300341,Train
17,0.33365321,0.88301814,0.88300341,Train
18,0.32708576,0.88301814,0.88300341,Train
19,0.32386684,0.88301814,0.88300341,Train
20,0.32199320,0.88301814,0.88300341,Train
21,0.31970704,0.88301814,0.88300341,Train
22,0.31596702,0.88301814,0.88300341,Train
23,0.31053326,0.88301814,0.88300341,Train
24,0.30381361,0.88301814,0.88300341,Train
25,0.29660162,0.88301814,0.88300341,Train
26,0.28979769,0.88301814,0.88300341,Train
27,0.28412783,0.88301814,0.88300341,Train
28,0.27994490,0.88301814,0.88300341,Train
29,0.27713171,0.88307345,0.88300341,Train
30,0.27520248,0.88332230,0.88289285,Train
31,0.27351466,0.88346052,0.88289285,Train
32,0.27154237,0.88384759,0.88289285,Train
33,0.26906842,0.88428998,0.88333517,Train
34,0.26620066,0.88470471,0.88399869,Train
35,0.26325393,0.88622540,0.88521510,Train
36,0.26059151,0.88758016,0.88687384,Train
37,0.25846979,0.88879675,0.88820082,Train
38,0.25695732,0.88965386,0.88930666,Train
39,0.25593391,0.89037269,0.89008075,Train
40,0.25516877,0.89092571,0.89140773,Train
41,0.25442314,0.89167219,0.89085478,Train
42,0.25355428,0.89194870,0.89019132,Train
43,0.25254542,0.89189339,0.89118654,Train
44,0.25149617,0.89228046,0.89019132,Train
45,0.25054914,0.89194870,0.89063364,Train
46,0.24981740,0.89214224,0.89107597,Train
47,0.24933657,0.89241874,0.89118654,Train
48,0.24904312,0.89255697,0.89140773,Train
49,0.24881221,0.89250165,0.89218181,Train
50,0.24851930,0.89258462,0.89218181,Train
51,0.24809645,0.89277816,0.89262414,Train
52,0.24755700,0.89244634,0.89350879,Train
53,0.24697122,0.89275050,0.89361936,Train
54,0.24642564,0.89310992,0.89295590,Train
55,0.24599209,0.89330345,0.89273471,Train
56,0.24565332,0.89369053,0.89218181,Train
57,0.24533598,0.89385647,0.89273471,Train
58,0.24496555,0.89413291,0.89317703,Train
59,0.24451923,0.89429885,0.89295590,Train
60,0.24402790,0.89446473,0.89262414,Train
61,0.24354543,0.89468592,0.89306647,Train
62,0.24311230,0.89460295,0.89406168,Train
63,0.24272984,0.89501768,0.89428288,Train
64,0.24236225,0.89529419,0.89505696,Train
65,0.24197242,0.89543241,0.89461464,Train
66,0.24154462,0.89565361,0.89516753,Train
67,0.24109319,0.89590245,0.89538872,Train
68,0.24064848,0.89601302,0.89594162,Train
69,0.24023458,0.89617896,0.89594162,Train
70,0.23985156,0.89656603,0.89594162,Train
71,0.23947997,0.89659369,0.89660513,Train
72,0.23909500,0.89709133,0.89737916,Train
73,0.23868488,0.89747846,0.89815325,Train
74,0.23826136,0.89769959,0.89837444,Train
75,0.23784700,0.89816964,0.89903796,Train
76,0.23745686,0.89839083,0.89903796,Train
77,0.23706813,0.89863968,0.89881676,Train
78,0.23665921,0.89877790,0.89903796,Train
79,0.23623575,0.89924794,0.89959085,Train
80,0.23581421,0.89946914,0.89959085,Train
81,0.23540737,0.89944148,0.89959085,Train
82,0.23501308,0.89963502,0.90003318,Train
83,0.23459636,0.89993918,0.90069669,Train
84,0.23415835,0.90016037,0.90058607,Train
85,0.23373052,0.90038157,0.90058607,Train
86,0.23331603,0.90065801,0.90136015,Train
87,0.23287676,0.90071332,0.90158135,Train
88,0.23241572,0.90076864,0.90080726,Train
89,0.23196445,0.90110040,0.90113902,Train
90,0.23150231,0.90148753,0.90124959,Train
91,0.23103827,0.90140456,0.90158135,Train
92,0.23059031,0.90145987,0.90169191,Train
93,0.23016895,0.90140456,0.90113902,Train
94,0.22972855,0.90154278,0.90047550,Train
95,0.22930910,0.90173632,0.90124959,Train
96,0.22890545,0.90184695,0.90124959,Train
97,0.22849368,0.90237224,0.90235543,Train
98,0.22812843,0.90223402,0.90290833,Train
99,0.22774942,0.90223402,0.90290833,Train
100,0.22740832,0.90256578,0.90312952,Train
101,0.22704077,0.90256578,0.90301889,Train
102,0.22670366,0.90251052,0.90324008,Train
103,0.22634745,0.90278697,0.90324008,Train
104,0.22599116,0.90289760,0.90301889,Train
105,0.22563796,0.90339530,0.90312952,Train
106,0.22525811,0.90367174,0.90290833,Train
107,0.22488248,0.90375471,0.90301889,Train
108,0.22450542,0.90397590,0.90335065,Train
109,0.22411174,0.90441829,0.90335065,Train
110,0.22371559,0.90458417,0.90379298,Train
111,0.22332060,0.90461183,0.90357184,Train
112,0.22292565,0.90461183,0.90357184,Train
113,0.22252513,0.90499890,0.90301889,Train
114,0.22211230,0.90541363,0.90379298,Train
115,0.22168408,0.90527540,0.90301889,Train
116,0.22125366,0.90546894,0.90301889,Train
117,0.22082677,0.90563482,0.90357184,Train
118,0.22039749,0.90574539,0.90357184,Train
119,0.21997643,0.90569013,0.90423530,Train
120,0.21957298,0.90613252,0.90412474,Train
121,0.21922758,0.90613252,0.90523058,Train
