Dataset,n,col_size,Iteration,Accuracy
AP_Endometrium_Ovary.csv,259,10935,0,0.9961
AP_Lung_Uterus.csv,250,10935,0,0.984
AP_Omentum_Lung.csv,203,10935,0,0.9951
AP_Omentum_Ovary.csv,275,10935,0,0.9927
AP_Omentum_Uterus.csv,201,10935,0,1
AP_Prostate_Ovary.csv,267,10935,0,1
BurkittLymphoma.csv,220,22283,0,0.2182
230_machine_cpu.csv,209,6,0,0
505_tecator.csv,240,124,0,0
560_bodyfat.csv,252,14,0,0.004
561_cpu.csv,209,7,0,0
579_fri_c0_250_5.csv,250,5,0,0
596_fri_c2_250_5.csv,250,5,0,0
601_fri_c1_250_5.csv,250,5,0,0
602_fri_c3_250_10.csv,250,10,0,0
603_fri_c0_250_50.csv,250,50,0,0
605_fri_c2_250_25.csv,250,25,0,0
613_fri_c3_250_5.csv,250,5,0,0
615_fri_c4_250_10.csv,250,10,0,0
653_fri_c0_250_25.csv,250,25,0,0
657_fri_c2_250_10.csv,250,10,0,0
658_fri_c3_250_25.csv,250,25,0,0
635_fri_c0_250_10.csv,250,10,0,0
644_fri_c4_250_25.csv,250,25,0,0
647_fri_c1_250_10.csv,250,10,0,0
648_fri_c1_250_50.csv,250,50,0,0
695_chatfield_4.csv,235,12,0,0.0255
712_chscase_geyser1.csv,222,2,0,0
CostaMadre1.csv,296,37,0,0.9966
hepatitisC.csv,283,54621,0,0.0636
mouseType.csv,214,45101,0,0.0607
ovarianTumour.csv,283,54621,0,0.0636
MeanWhile1.csv,253,37,0,0.9921
MegaWatt1.csv,253,37,0,0.9921
SPECT.csv,267,22,0,0.9401
analcatdata_lawsuit.csv,264,4,0,0.9962
analcatdata_broadwaymult.csv,285,7,0,0.414
audiology.csv,226,67,0,0.0044
auto.csv,202,25,0,0.3317
autoHorse.csv,205,25,0,0.5951
autos.csv,205,25,0,0
biomed.csv,209,8,0,0.3589
bodyfat.csv,252,14,0,1
breast-cancer-dropped-missing-attributes-values.csv,277,9,0,0.8267
breast-cancer.csv,286,9,0,0.7028
breastTumor.csv,286,9,0,0.4196
breast_cancer.csv,286,9,0,0.8741
chatfield_4.csv,235,12,0,0.6043
chscase_geyser1.csv,222,2,0,0.9099
chscase_whale.csv,228,8,0,0.4868
cpu.csv,209,7,0,1
fri_c0_250_25.csv,250,25,0,1
fri_c0_250_5.csv,250,5,0,0.916
fri_c0_250_50.csv,250,50,0,1
fri_c1_250_10.csv,250,10,0,0.772
fri_c1_250_25.csv,250,25,0,0.94
fri_c1_250_5.csv,250,5,0,0.988
fri_c1_250_50.csv,250,50,0,0.984
fri_c2_250_10.csv,250,10,0,0.808
fri_c2_250_25.csv,250,25,0,0.936
fri_c2_250_5.csv,250,5,0,0.948
fri_c2_250_50.csv,250,50,0,0.98
hungarian.csv,294,10,0,0.6395
fri_c3_250_10.csv,250,10,0,0.812
fri_c3_250_25.csv,250,25,0,0.868
fri_c3_250_5.csv,250,5,0,0.968
fri_c3_250_50.csv,250,50,0,0.972
fri_c4_250_100.csv,250,100,0,0.96
fri_c4_250_50.csv,250,50,0,0.972
glass.csv,214,9,0,0.3271
heart-h.csv,294,13,0,0.6395
heart-statlog.csv,270,13,0,0.9444
heart_h.csv,294,13,0,0.915
heart_statlog.csv,270,13,0,0.9444
machine_cpu.csv,209,6,0,0.9904
mu284.csv,284,10,0,1
new_thyroid.csv,215,5,0,0
prnn_fglass.csv,214,9,0,0.0607
seeds.csv,210,7,0,0.3333
seismic-bumps.csv,210,7,0,0.3333
prnn_synth.csv,250,2,0,0.864
qualitative-bankruptcy.csv,250,6,0,1
