Run,Phase,TrainingType,Epoch,Train_loss,Train_acc,Val_loss,Val_acc,Test_loss,Test_acc
1,Train,RWP,1,0.4095922870238622,85.12083333333334,0.2981817824840546,89.51666666666667,-,-
1,Train,RWP,2,0.24846083164215088,91.00416666666666,0.23945494298140207,91.19166666666666,-,-
1,Train,RWP,3,0.20351364248991013,92.50416666666666,0.21264388318856559,92.18333333333334,-,-
1,Train,RWP,4,0.17355065699418387,93.66041666666666,0.24958890970547995,91.26666666666667,-,-
1,Train,RWP,5,0.15162636757890383,94.42083333333333,0.21724584623177845,92.35833333333333,-,-
1,Train,RWP,6,0.12238873090346654,95.62708333333333,0.2383065315882365,91.88333333333334,-,-
1,Train,RWP,7,0.10239494754374028,96.33958333333334,0.21003537527720134,92.84166666666667,-,-
1,Train,RWP,8,0.0837606625209252,96.98125,0.2210374942223231,92.875,-,-
1,Train,RWP,9,0.06488814800481002,97.66875,0.2258075928290685,93.14166666666667,-,-
1,Train,RWP,10,0.050378964117417734,98.19583333333334,0.24259050365289053,93.01666666666667,-,-
1,Train,RWP,11,0.0388732132203877,98.62708333333333,0.2840054202874501,92.71666666666667,-,-
1,Train,RWP,12,0.03691516569505135,98.63958333333333,0.2795515156984329,92.93333333333334,-,-
1,Train,RWP,13,0.02804960666100184,99.00833333333334,0.3013163774013519,92.70833333333333,-,-
1,Train,RWP,14,0.02534357921872288,99.11041666666667,0.31437630422910057,92.63333333333334,-,-
1,Train,RWP,15,0.023713987044990063,99.18125,0.3182825796604157,92.85,-,-
1,Train,RWP,16,0.02024507152227064,99.33541666666666,0.32813041035334267,92.775,-,-
1,Train,RWP,17,0.02219481185808157,99.19583333333334,0.3279131369590759,92.85833333333333,-,-
1,Train_Test,RWP,-1,0.21003537527720134,92.84166666666667,-,-
2,Train,RWP,1,0.41627951741218566,84.7875,0.27795998748143513,89.99166666666666,-,-
2,Train,RWP,2,0.25017639766136807,90.93333333333334,0.23620443952083586,91.31666666666666,-,-
2,Train,RWP,3,0.20638936668634414,92.49375,0.2392977297306061,91.54166666666667,-,-
2,Train,RWP,4,0.17896306428313255,93.46458333333334,0.22448839390277864,91.875,-,-
2,Train,RWP,5,0.15409183265765508,94.42916666666666,0.24496471597750982,91.45,-,-
2,Train,RWP,6,0.126216263204813,95.35,0.21509392905235292,92.24166666666666,-,-
2,Train,RWP,7,0.10851883727808793,95.93958333333333,0.21032893147071202,92.95,-,-
2,Train,RWP,8,0.08439383799334367,96.925,0.22058771705627442,93.06666666666666,-,-
2,Train,RWP,9,0.06756984878083071,97.6,0.2535999116897583,92.56666666666666,-,-
2,Train,RWP,10,0.05592423166955511,98.00416666666666,0.2589233605066935,92.63333333333334,-,-
2,Train,RWP,11,0.04285553891335925,98.45416666666667,0.25637741255760194,92.90833333333333,-,-
2,Train,RWP,12,0.032852246303111315,98.86458333333333,0.29435798605283103,92.5,-,-
2,Train,RWP,13,0.035307589183871946,98.74166666666666,0.32710745815436043,91.96666666666667,-,-
2,Train,RWP,14,0.02770815344620496,98.98541666666667,0.30933775357405346,92.75,-,-
2,Train,RWP,15,0.024510379841240743,99.12916666666666,0.3147631665070852,92.81666666666666,-,-
2,Train,RWP,16,0.019975497482189287,99.3125,0.3103387858867645,93.13333333333334,-,-
2,Train,RWP,17,0.020178616859484463,99.30833333333334,0.32018693606058757,93.125,-,-
2,Train_Test,RWP,-1,0.21032893147071202,92.95,-,-
3,Train,RWP,1,0.41218470374743144,85.01458333333333,0.2660261548360189,90.18333333333334,-,-
3,Train,RWP,2,0.2558802631100019,90.675,0.2219872907400131,92.05,-,-
3,Train,RWP,3,0.20788233776887258,92.33958333333334,0.23205542576313018,91.44166666666666,-,-
3,Train,RWP,4,0.1790644463400046,93.54166666666667,0.18424235224723817,93.25833333333334,-,-
3,Train,RWP,5,0.15470907148718835,94.41458333333334,0.2033112942377726,92.64166666666667,-,-
3,Train,RWP,6,0.13332801887392998,95.20416666666667,0.19372564268112183,93.425,-,-
3,Train,RWP,7,0.10810555981099605,96.03541666666666,0.19628673128286997,93.25,-,-
3,Train,RWP,8,0.09035592643419901,96.75208333333333,0.21205612830320994,93.325,-,-
3,Train,RWP,9,0.07106877332429092,97.39583333333333,0.24603015704949696,92.60833333333333,-,-
3,Train,RWP,10,0.055839623115956784,98.0,0.2349571602543195,93.25,-,-
3,Train,RWP,11,0.04650019047409296,98.30416666666666,0.24703210985660554,92.78333333333333,-,-
3,Train,RWP,12,0.03859516547806561,98.55208333333333,0.2958737303217252,92.59166666666667,-,-
3,Train,RWP,13,0.03057960916683078,98.8875,0.280819150129954,93.21666666666667,-,-
3,Train,RWP,14,0.029692422637405496,98.96041666666666,0.2886640169620514,93.03333333333333,-,-
3,Train_Test,RWP,-1,0.18424235224723817,93.25833333333334,-,-
